domain,strategy,n,task_mean,task_std,welch_t_vs_ce,cohen_d_vs_ce
Sentiment,CE,10,64.564,2.4108928728677346,0,0
Sentiment,KL,10,64.11699999999999,2.0966112870269717,-0.44241851385269937,-0.1978555742958136
Sentiment,KL/CE anneal,10,65.032,2.8552439086315817,0.3960300562025984,0.17711002536041448
Math,CE,10,21.656,1.7968070446087292,0,0
Math,KL,10,21.919999999999998,1.9565275362232961,0.3142742330734628,0.1405477097457751
Math,KL/CE anneal,10,22.834,0.5810756309542584,1.9726253396508118,0.8821848707195652
