strategy,run,metric,batch,value
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,61,0.091999
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,62,0.088796
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,63,0.092402
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,64,0.084286
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,65,0.089943
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,66,0.089513
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,67,0.08389
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,68,0.086987
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,69,0.083106
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,70,0.080639
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,71,0.082125
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,72,0.097848
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,73,0.091302
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,74,0.089334
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,75,0.102462
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,76,0.075593
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,77,0.077947
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,78,0.103818
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,79,0.094173
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,80,0.083229
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,81,0.080567
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,82,0.084014
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,83,0.095524
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,84,0.076341
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,85,0.083699
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,86,0.0782
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,87,0.087044
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,88,0.080028
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,89,0.084105
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,90,0.089534
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,91,0.075533
Pure CE,exp-tsc-8k-purece-t1-48h-3L-3.4M-1,Loss,92,0.085064
