domain,model_parameters_m,strategy,run,metric,accuracy,summary
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-5,Task,63.01,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-6,Teacher-forced,97.75,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-6,Student-only,88.31,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-6,Task,62.980000000000004,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-7,Teacher-forced,97.81,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-7,Student-only,88.87,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-7,Task,65.95,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-8,Teacher-forced,97.78999999999999,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-8,Student-only,88.57000000000001,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-8,Task,64.05,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-9,Teacher-forced,97.77,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-9,Student-only,88.35,seed
Sentiment,3.416397,KL,exp-tsc-8k-purekl-t1-48h-3L-3.4M-9,Task,63.470000000000006,seed
Sentiment,3.416397,KL,mean,Teacher-forced,97.77799999999999,mean
Sentiment,3.416397,KL,mean,Student-only,88.52000000000001,mean
Sentiment,3.416397,KL,mean,Task,64.11699999999999,mean
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-1,Teacher-forced,97.78,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-1,Student-only,88.47,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-1,Task,63.73,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-10,Teacher-forced,97.75,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-10,Student-only,88.34,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-10,Task,63.22,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-2,Teacher-forced,97.74000000000001,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-2,Student-only,88.31,seed
Sentiment,3.416397,KL/CE anneal,exp-tsc-8k-kl99to50-t1-48h-3L-3.4M-2,Task,62.89,seed
