setting,top20_hit,top20_overlap,mean_target_rank,examples,steps
KL/CE + temp,69.07599507420008,34.606041028159176,486.30706935776755,768,47911
Pure CE,67.55442382751352,26.68792180263994,1068.922856963954,768,47911
Pure KL,64.41735718311034,37.310326127511736,464.69587359896474,768,47911
